,,,,,,,,,,,
AT&T Inc (T US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
12 Months Ending,,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,Ñ,Ñ,3.23,3.11,4.01,4.07,4.25,4.27,4.97,Ñ
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,Ñ,Ñ,4.25,4.37,4.83,5.02,5.91,5.37,6.58,Ñ
BESG Social Pillar Score,SOCIAL_SCORE,Ñ,Ñ,0.91,0.89,1.91,1.90,1.91,2.60,2.88,Ñ
BESG Governance Pillar Score,GOVERNANCE_SCORE,Ñ,Ñ,7.67,7.00,7.70,7.76,7.58,6.48,7.53,Ñ
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,63.57,64.33,62.43,66.45,66.98,71.13,70.43,70.51,72.24,71.91
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,50.50,56.72,49.47,57.99,57.99,61.91,60.50,60.50,60.50,63.06
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,42.02,44.38,44.65,48.22,49.79,51.36,51.36,51.60,56.80,53.26
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,98.04,91.78,93.05,93.05,93.05,100.00,99.31,99.31,99.31,99.31
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,866.9,933.7,861.5,988.2,903.4,861.2,822.6,758.8,726.9,664.1
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,"8,064.0","8,143.7","7,578.9","7,699.7","6,792.1","6,630.6",Ñ,Ñ,Ñ,Ñ
GHG Scope 1,GHG_SCOPE_1,"1,007.2","1,080.8","1,036.2","1,140.6","1,048.7","1,019.7",991.0,"1,044.8",997.1,917.0
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"8,103.3","8,183.3","7,632.5","7,737.3","6,951.1","6,662.2","6,015.1","5,635.3","5,212.7","4,962.5"
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,Ñ,Ñ,Ñ,"7,527.6","6,752.9","6,729.7","5,534.1","4,743.5","4,550.6","3,861.2"
GHG Scope 3,GHG_SCOPE_3,54.7,49.7,"3,420.7","4,856.4","5,745.6","6,765.1","6,291.5","4,513.3","3,631.9","12,868.6"
Scope of Disclosure,SCOPE_OF_DISCLOSURE,Ñ,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,Ñ,0.12,0.09,0.08,0.07,0.03,0.02,0.03,0.02,0.02
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,Yes
Number of Environmental Fines,NUM_ENVIRON_FINES,1.00,1.00,Ñ,Ñ,Ñ,5.00,8.00,16.00,3.00,7.00
Amount of Environmental Fines,ENVIRON_FINES_AMT,Ñ,23.8,Ñ,Ñ,Ñ,0.0,0.0,0.0,0.0,0.0
Number of Significant Environmental Fines,NUM_SIGNIF_ENVIRONMENTAL_FINES,Ñ,Ñ,Ñ,0.00,1.00,Ñ,Ñ,Ñ,Ñ,Ñ
Amount of Significant Environmental Fines,AMOUNT_OF_SIGNFCNT_ENV_FINES,Ñ,Ñ,Ñ,0.0,0.0,Ñ,Ñ,Ñ,Ñ,Ñ
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"18,643.2","19,009.6","18,560.7","19,627.8","20,233.2","17,774.7","17,716.2","17,255.0","16,978.1","15,995.5"
Renewable Energy Use,RENEW_ENERGY_USE,Ñ,Ñ,0.0,6.6,22.7,42.9,"2,025.6",80.2,"2,383.0","2,799.7"
Electricity Used,ELECTRICITY_USED,"14,875.0","14,900.0","14,868.7","15,162.7","15,376.3","14,077.3","14,052.8","14,109.1","13,964.0","13,497.5"
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,Ñ,Ñ,0.0,6.6,6.6,5.7,1.1,1.0,1.1,4.2
Fuel Used - Coal/Lignite,COAL_USED,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,0.0
Fuel Used - Natural Gas,NAT_GAS_USED,"66,439.1","72,668.8","85,641.8","93,297.8","186,223.0","62,381.6","54,480.6","50,706.6","51,200.2","46,715.5"
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,35.9,22.5,272.7,312.4,327.5,348.2,322.4,250.6,220.1,223.7
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,0.23,0.19,0.15,0.14,0.12,0.05,0.05,0.06,0.06,0.05
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,12.7,22.1,Ñ,Ñ,Ñ,0.2,0.0,0.0,0.2,0.3
Total Waste,TOTAL_WASTE,67.9,113.5,165.2,149.6,201.4,191.8,245.6,199.7,190.2,180.6
Waste Recycled,WASTE_RECYCLED,18.8,43.8,9.0,29.0,67.6,72.4,92.0,80.0,76.6,68.2
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,49.1,69.7,Ñ,Ñ,Ñ,116.1,152.7,117.7,112.2,110.1
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"11,780.7","11,530.9","11,693.7","11,620.0","11,500.0","11,370.0","11,398.4","10,137.8","10,152.9","10,130.0"
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,185.74,151.29,101.65,95.60,72.96,33.85,23.38,44.48,44.72,44.46
,,,,,,,,,,,
