,,,,,,,,,,,
AT&T Inc (T US) - Telecom,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
12 Months Ending,,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022
Wireless,,,,,,,,,,,
Revenues,,,,,,,,,,,
Wireless Revenue,WIRELESS_REVENUE,"69,899.0","73,992.0","73,705.0","72,821.0","70,259.0","70,521.0","71,056.0","72,564.0","78,254.0","81,780.0"
Wireless Service Revenue,CELLULAR_SERVICE_REVENUE,"61,552.0","61,032.0","59,837.0","59,386.0","57,023.0","54,295.0","55,331.0","55,542.0","57,590.0","60,499.0"
Wireless Equipment Revenue,EQUIP_REVENUES_CELLULAR_TELECOM,"8,347.0","12,960.0","13,868.0","13,435.0","13,271.0","16,226.0","15,725.0","17,022.0","20,664.0","21,281.0"
Wireless Data/SMS Revenue,WIRELESS_DATA_SMS_REVENUE,"21,719.0",Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ
,,,,,,,,,,,
Subscribers,,,,,,,,,,,
Total Wireless Subscribers (RGU),NUMBER_OF_CELLULAR_SUBSCRIBERS,"110,376.0","120,554.0","137,324.0","146,832.0","156,666.0","151,921.0","165,889.0","182,558.0","201,791.0","217,397.0"
Wireless Subscribers-Postpaid,TOTAL_WIRELESS_SUBSCRIBERS_PPD,"72,638.0","75,770.0","77,105.0","77,372.0","77,875.0","76,068.0","75,207.0","77,154.0","81,534.0","84,700.0"
Wireless Subscribers-Prepaid,TOTAL_WIRELESS_SUBSCRIBERS_PREPD,"7,384.0","9,965.0","11,548.0","13,536.0","15,335.0","16,828.0","17,803.0","18,102.0","19,028.0","19,176.0"
Average Wireless Subscribers,AVERAGE_WIRELESS_SUBSCRIBERS,"108,666.5","115,465.0","128,939.0","142,078.0","151,749.0","154,293.5","158,905.0","174,223.5","192,174.5","209,594.0"
,,,,,,,,,,,
Subscriber Additions,,,,,,,,,,,
Wireless Subscriber Additions,CELLULAR_NET_SUBSCRIBER_ADDITION,"3,419.0","5,608.0","8,059.0","6,196.0","9,427.0","11,936.0","13,959.0","16,898.0","19,232.0","25,626.0"
Organic Net Additions,ORGANIC_NET_ADDS,"3,419.0","5,608.0","8,059.0","6,196.0","9,427.0","11,936.0","13,959.0","16,898.0","19,232.0","25,626.0"
Net Wireless Additions-Postpaid,NET_WIRELESS_SUBSCRIBER_ADDS_PPD,"1,776.0","3,290.0","1,666.0",986.0,594.0,-90.0,-435.0,"2,183.0","4,482.0","4,091.0"
Net Wireless Additions-Prepaid,NET_WIRELESS_SUBSCR_ADDS_PREPD,-13.0,-311.0,"1,364.0","1,575.0","1,013.0","1,301.0",677.0,379.0,956.0,479.0
,,,,,,,,,,,
Churn (%),,,,,,,,,,,
Blended,TELECOM_CELLULAR_CHURN_RATE,1.37,1.45,1.39,1.48,1.36,Ñ,Ñ,Ñ,Ñ,Ñ
Postpaid,WIRELESS_POSTPAID_CHURN,1.06,1.04,1.09,1.07,1.08,1.12,1.18,0.98,0.94,0.97
,,,,,,,,,,,
Monthly Average Revenue per User,,,,,,,,,,,
Wireless Average Revenue Per Unit (ARPU),AVG_REVENUE_PER_CELL_SUBSCRIBER,Ñ,51.15,38.78,37.56,35.36,38.68,35.69,33.12,48.97,33.39
Postpaid ARPU,POSTPAID_ARPU,Ñ,60.62,55.58,53.59,52.51,49.06,50.18,49.95,48.97,49.95
,,,,,,,,,,,
Other Data,,,,,,,,,,,
