,,,,,,,,,,,
T-Mobile US Inc (TMUS US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
12 Months Ending,,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022
ESG Financial Materiality Scores,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,Ñ,Ñ,1.55,2.12,2.15,2.38,2.40,4.58,4.98,Ñ
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,Ñ,Ñ,0.00,1.57,1.60,2.64,2.91,6.51,7.59,Ñ
BESG Social Pillar Score,SOCIAL_SCORE,Ñ,Ñ,0.66,0.62,0.62,0.62,0.62,2.70,2.78,Ñ
BESG Governance Pillar Score,GOVERNANCE_SCORE,Ñ,Ñ,6.30,6.54,6.70,6.33,6.07,6.36,6.83,Ñ
,,,,,,,,,,,
ESG Disclosure Scores,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,32.68,33.37,34.36,41.76,51.30,51.72,52.29,60.19,60.19,63.20
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,0.00,0.00,0.00,16.43,38.81,40.05,41.77,46.09,46.09,48.14
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,12.33,14.39,15.42,21.19,21.19,21.19,21.19,34.31,34.31,41.32
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,85.52,85.52,87.48,87.48,93.74,93.74,93.74,100.00,100.00,100.00
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,Yes
CO2 Scope 1,CO2_SCOPE_1,Ñ,Ñ,Ñ,Ñ,31.8,36.0,37.0,50.9,50.5,51.6
GHG Scope 1,GHG_SCOPE_1,Ñ,Ñ,Ñ,61.3,87.5,138.8,73.5,53.2,70.4,97.1
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,Ñ,Ñ,Ñ,"2,395.7","2,332.0","2,427.9","2,651.6","2,755.8","2,893.7","2,971.9"
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,Ñ,Ñ,Ñ,"2,395.7","2,310.0","2,099.9","1,987.4","1,858.2",0.0,0.0
GHG Scope 3,GHG_SCOPE_3,Ñ,Ñ,Ñ,"7,067.2","6,127.6","5,189.8","7,397.7","7,033.8","7,263.7","7,168.9"
Scope of Disclosure,SCOPE_OF_DISCLOSURE,Ñ,Ñ,Ñ,Ñ,1.00,1.00,1.00,1.00,1.00,1.00
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,471.05,319.18,213.00
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,Ñ,Ñ,Ñ,"5,466.2","5,843.5","6,520.4","6,589.4","7,158.8","8,028.4","8,578.2"
Renewable Energy Use,RENEW_ENERGY_USE,Ñ,Ñ,Ñ,Ñ,40.0,577.0,"1,182.2","1,752.3","7,806.1","8,352.0"
Electricity Used,ELECTRICITY_USED,Ñ,Ñ,Ñ,"5,209.2","5,475.5","5,948.3","6,277.8","6,963.0","7,852.0","8,352.0"
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,0.0,0.0,0.0
Fuel Used - Coal/Lignite,COAL_USED,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,0.0
Fuel Used - Natural Gas,NAT_GAS_USED,Ñ,Ñ,Ñ,Ñ,"3,466.4","3,873.5","3,867.5","4,736.4","5,243.7","5,357.4"
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,Ñ,Ñ,Ñ,Ñ,0.7,11.1,12.1,18.3,16.4,5.1
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,408.00,377.00,349.39,252.00
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,Ñ,Ñ,Ñ,14.6,15.8,17.9,16.6,13.1,40.6,57.7
Waste Recycled,WASTE_RECYCLED,Ñ,Ñ,Ñ,10.1,9.3,10.5,10.0,11.2,8.3,9.2
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,Ñ,Ñ,Ñ,"1,163.0","1,058.0","1,109.5","1,026.8","1,086.7","1,054.6",862.1
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,Ñ,Ñ,Ñ,0.1,0.8,2.6,0.5,902.8,"1,859.8","2,100.0"
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,No,No,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,35.80,35.80,37.10
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,40.60,40.90,41.00
