,,,,,,,,,,,
T-Mobile US Inc (TMUS US) - Telecom,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
12 Months Ending,,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022
Wireless,,,,,,,,,,,
Revenues,,,,,,,,,,,
Wireless Revenue,WIRELESS_REVENUE,"24,420.0","29,564.0","32,053.0","37,242.0","40,604.0","43,310.0","44,998.0","68,397.0","80,118.0","79,571.0"
Wireless Service Revenue,CELLULAR_SERVICE_REVENUE,"19,068.0","22,375.0","24,821.0","27,844.0","30,160.0","31,992.0","33,994.0","50,395.0","58,369.0","61,323.0"
Wireless Equipment Revenue,EQUIP_REVENUES_CELLULAR_TELECOM,"5,033.0","6,789.0","6,718.0","8,727.0","9,375.0","10,009.0","9,840.0","17,312.0","20,727.0","17,130.0"
,,,,,,,,,,,
Subscribers,,,,,,,,,,,
Total Wireless Subscribers (RGU),NUMBER_OF_CELLULAR_SUBSCRIBERS,"46,684.0","55,018.0","63,282.0","71,455.0","72,585.0","79,651.0","86,046.0","102,064.0","108,719.0","113,598.0"
Wireless Subscribers-Postpaid,TOTAL_WIRELESS_SUBSCRIBERS_PPD,"22,299.0","27,185.0","31,695.0","34,427.0","38,047.0","42,519.0","47,034.0","81,350.0","87,663.0","92,232.0"
Wireless Subscribers-Prepaid,TOTAL_WIRELESS_SUBSCRIBERS_PREPD,"15,072.0","16,316.0","17,631.0","19,813.0","20,668.0","21,137.0","20,860.0","20,714.0","21,056.0","21,366.0"
Average Wireless Subscribers,AVERAGE_WIRELESS_SUBSCRIBERS,"27,785.4","50,851.0","59,150.0","67,368.5","72,020.0","76,118.0","82,848.5","94,055.0","105,391.5","111,158.5"
,,,,,,,,,,,
Subscriber Additions,,,,,,,,,,,
Wireless Subscriber Additions,CELLULAR_NET_SUBSCRIBER_ADDITION,"4,377.0","8,334.0","8,264.0","8,173.0","5,658.0","7,044.0","7,011.0","5,631.0","5,837.0","6,757.0"
Organic Net Additions,ORGANIC_NET_ADDS,"4,377.0","8,334.0","8,264.0","8,173.0","5,658.0","7,044.0","7,011.0","5,631.0","5,837.0","6,757.0"
Net Wireless Additions-Postpaid,NET_WIRELESS_SUBSCRIBER_ADDS_PPD,"2,006.0","4,886.0","4,510.0","4,097.0","3,620.0","4,459.0","4,515.0","5,486.0","5,495.0","6,419.0"
Net Wireless Additions-Prepaid,NET_WIRELESS_SUBSCR_ADDS_PREPD,328.0,"1,244.0","1,315.0","2,508.0",855.0,460.0,339.0,145.0,342.0,338.0
,,,,,,,,,,,
Churn (%),,,,,,,,,,,
Blended,TELECOM_CELLULAR_CHURN_RATE,Ñ,1.72,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,0.98,Ñ
Postpaid,WIRELESS_POSTPAID_CHURN,1.70,1.58,1.39,1.30,1.18,1.01,0.89,0.90,0.98,0.88
Prepaid,PREPAID_CHURN_RATE,5.40,4.76,4.45,3.88,4.04,3.96,3.82,3.03,2.83,2.77
,,,,,,,,,,,
Monthly Average Revenue per User,,,,,,,,,,,
Wireless Average Revenue Per Unit (ARPU),AVG_REVENUE_PER_CELL_SUBSCRIBER,50.12,36.67,34.97,35.57,43.25,42.46,42.00,42.93,47.75,45.35
Postpaid ARPU,POSTPAID_ARPU,52.60,49.44,47.68,47.47,46.97,46.40,46.04,47.74,47.75,48.78
Prepaid Average Revenue per User,PREPAID_ARPU,34.59,37.10,37.68,37.92,38.69,38.53,37.95,38.12,38.79,38.76
,,,,,,,,,,,
Other Data,,,,,,,,,,,
