,,,,,,,,,,,
Verizon Communications Inc (VZ US) - Telecom,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
12 Months Ending,,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021,12/31/2022
Wireless,,,,,,,,,,,
Revenues,,,,,,,,,,,
Wireless Revenue,WIRELESS_REVENUE,"81,023.0","87,646.0","91,680.0","89,186.0","87,511.0","91,734.0","94,114.0","92,073.0","99,488.0","108,955.0"
Wireless Service Revenue,CELLULAR_SERVICE_REVENUE,"69,033.0","72,630.0","70,396.0","66,580.0","63,121.0","63,020.0","65,410.0","65,410.0","68,469.0","74,354.0"
Wireless Equipment Revenue,EQUIP_REVENUES_CELLULAR_TELECOM,"8,111.0","10,959.0","16,924.0","17,515.0","18,889.0","22,258.0","21,563.0","18,420.0","23,164.0","27,210.0"
,,,,,,,,,,,
Subscribers,,,,,,,,,,,
Total Wireless Subscribers (RGU),NUMBER_OF_CELLULAR_SUBSCRIBERS,"102,799.0","108,211.0","112,108.0","114,243.0","116,257.0","117,999.0","119,692.0","120,880.0","142,806.0","143,253.0"
Wireless Subscribers-Postpaid,TOTAL_WIRELESS_SUBSCRIBERS_PPD,"96,752.0","102,079.0","106,528.0","108,796.0","110,854.0","113,353.0","115,629.0","116,853.0","118,954.0","120,589.0"
Wireless Subscribers-Prepaid,TOTAL_WIRELESS_SUBSCRIBERS_PREPD,"6,047.0","6,132.0","5,580.0","5,447.0","5,403.0","4,646.0","4,063.0","4,027.0","23,852.0","22,664.0"
Average Wireless Subscribers,AVERAGE_WIRELESS_SUBSCRIBERS,"100,514.5","105,505.0","110,159.5","113,175.5","115,250.0","117,128.0","118,845.5","120,286.0","131,843.0","143,029.5"
,,,,,,,,,,,
Subscriber Additions,,,,,,,,,,,
Wireless Subscriber Additions,CELLULAR_NET_SUBSCRIBER_ADDITION,"4,472.0","5,568.0","3,956.0","2,155.0","2,041.0","1,769.0","1,770.0","1,513.0","2,063.0","2,160.0"
Organic Net Additions,ORGANIC_NET_ADDS,"4,472.0","5,568.0","3,956.0","2,155.0","2,041.0","1,769.0","1,770.0","1,513.0","2,063.0","2,160.0"
Net Wireless Additions-Postpaid,NET_WIRELESS_SUBSCRIBER_ADDS_PPD,"4,118.0","5,482.0","4,507.0","2,288.0","2,084.0","2,526.0","2,361.0","1,558.0","2,115.0","2,605.0"
Net Wireless Additions-Prepaid,NET_WIRELESS_SUBSCR_ADDS_PREPD,354.0,86.0,-551.0,-133.0,-43.0,-757.0,-591.0,-45.0,-52.0,-445.0
,,,,,,,,,,,
Churn (%),,,,,,,,,,,
Blended,TELECOM_CELLULAR_CHURN_RATE,1.27,1.33,1.24,1.26,1.25,1.23,1.27,1.07,1.14,1.58
Postpaid,WIRELESS_POSTPAID_CHURN,0.97,1.04,0.96,1.01,1.01,1.03,1.09,0.94,0.98,1.10
,,,,,,,,,,,
Monthly Average Revenue per User,,,,,,,,,,,
Wireless Average Revenue Per Unit (ARPU),AVG_REVENUE_PER_CELL_SUBSCRIBER,228.93,54.90,213.01,48.57,45.24,44.51,65.56,63.47,Ñ,Ñ
,,,,,,,,,,,
Other Data,,,,,,,,,,,
Fourth Generation Markets,FOURTH_GENERATION_MARKETS,500.00,500.00,500.00,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ
,,,,,,,,,,,
Financial Data,,,,,,,,,,,
EBITDA,EBITDA,"48,574.0","36,132.0","49,077.0","45,177.0","44,379.0","39,681.0","51,635.0","50,367.0","53,709.0","52,712.0"
